Process Name,Memory Usage,CPU Usage
System Idle Process,8192,0.0
System,131072,0.0
,52088832,0.0
Registry,49475584,0.0
Code.exe,246607872,0.0
smss.exe,1175552,0.0
RuntimeBroker.exe,9351168,0.0
csrss.exe,5832704,0.0
wininit.exe,6553600,0.0
services.exe,14856192,0.0
LsaIso.exe,3227648,0.0
lsass.exe,31846400,0.0
svchost.exe,10072064,0.0
svchost.exe,9760768,0.0
SystemSettingsBroker.exe,6332416,0.0
svchost.exe,37650432,0.0
fontdrvhost.exe,3481600,0.0
svchost.exe,19914752,0.0
svchost.exe,14848000,0.0
svchost.exe,9314304,0.0
svchost.exe,7340032,0.0
svchost.exe,10469376,0.0
svchost.exe,5181440,0.0
svchost.exe,6447104,0.0
svchost.exe,10805248,0.0
svchost.exe,9515008,0.0
svchost.exe,16109568,0.0
svchost.exe,7098368,0.0
svchost.exe,16699392,0.0
svchost.exe,17305600,0.0
ApplicationFrameHost.exe,54771712,0.0
svchost.exe,8777728,0.0
svchost.exe,5660672,0.0
svchost.exe,8024064,0.0
RuntimeBroker.exe,46796800,0.0
svchost.exe,10145792,0.0
svchost.exe,15560704,0.0
svchost.exe,7073792,0.0
svchost.exe,9261056,0.0
svchost.exe,7393280,0.0
atieclxx.exe,16752640,0.0
StartMenuExperienceHost.exe,110051328,0.0
svchost.exe,14987264,0.0
conhost.exe,7950336,0.0
Dell.TechHub.Instrumentation.UserProcess.exe,79216640,0.0
svchost.exe,12304384,0.0
RzDiagnostic,7430144,0.0
svchost.exe,10452992,0.0
svchost.exe,16011264,0.0
svchost.exe,21426176,0.0
svchost.exe,10616832,0.0
NVDisplay.Container.exe,41947136,0.0
amdfendrsr.exe,7204864,0.0
atiesrxx.exe,6823936,0.0
svchost.exe,17985536,0.0
XboxGameBarSpotify.exe,39694336,0.0
WhatsApp.exe,288763904,0.0
svchost.exe,6381568,0.0
svchost.exe,46174208,0.0
svchost.exe,7430144,0.0
svchost.exe,18370560,0.0
AMDRSServ.exe,82386944,0.0
svchost.exe,9080832,0.0
conhost.exe,6295552,0.0
Code.exe,74067968,0.0
svchost.exe,15761408,0.0
WmiPrvSE.exe,22441984,0.0
WmiPrvSE.exe,52535296,0.0
svchost.exe,15343616,0.0
winlogon.exe,11096064,0.0
unsecapp.exe,7159808,0.0
svchost.exe,9158656,0.0
svchost.exe,13180928,0.0
svchost.exe,5844992,0.0
svchost.exe,8155136,0.0
AWCC.Service.exe,112975872,0.0
svchost.exe,9908224,0.0
MemCompression,660742144,0.0
nvcontainer.exe,39833600,0.0
msedge.exe,8871936,0.0
svchost.exe,18636800,0.0
conhost.exe,8204288,0.0
svchost.exe,7061504,0.0
svchost.exe,16166912,0.0
powershell.exe,54431744,0.0
vgtray.exe,12378112,0.0
Code.exe,135372800,0.0
svchost.exe,8388608,0.0
svchost.exe,12787712,0.0
svchost.exe,21966848,0.0
SupportAssistAgent.exe,156413952,0.0
FusionService.exe,55103488,0.0
conhost.exe,1114112,0.0
SamsungMagician.exe,16830464,0.0
fontdrvhost.exe,8118272,0.0
svchost.exe,15609856,0.0
svchost.exe,10584064,0.0
audiodg.exe,24563712,0.0
svchost.exe,11984896,0.0
unsecapp.exe,9519104,0.0
dasHost.exe,7168000,0.0
conhost.exe,11292672,0.0
svchost.exe,11968512,0.0
msedge.exe,119390208,0.0
svchost.exe,20070400,0.0
cmd.exe,2097152,0.0
svchost.exe,7208960,0.0
svchost.exe,8294400,0.0
wlanext.exe,11333632,0.0
conhost.exe,5746688,0.0
conhost.exe,9326592,0.0
Intel_PIE_Service.exe,9605120,0.0
svchost.exe,7471104,0.0
svchost.exe,27017216,0.0
python.exe,16584704,0.0
svchost.exe,6733824,0.0
OfficeClickToRun.exe,50200576,0.0
MigrationService.exe,11530240,0.0
svchost.exe,19886080,0.0
warp-svc.exe,28954624,0.0
sihost.exe,35356672,0.0
Dell.TechHub.exe,41005056,0.0
svchost.exe,42479616,0.0
svchost.exe,8138752,0.0
svchost.exe,10887168,0.0
KillerAnalyticsService.exe,12292096,0.0
svchost.exe,7958528,0.0
MpDefenderCoreService.exe,22073344,0.0
NahimicService.exe,31215616,0.0
RzSDKServer.exe,10293248,0.0
RzSDKService.exe,8216576,0.0
RazerCentralService.exe,71557120,0.0
GameManagerService.exe,27312128,0.0
RtkAudUService64.exe,13033472,0.0
KillerNetworkService.exe,51466240,0.0
svchost.exe,11853824,0.0
SamsungMagicianSVC.exe,22798336,0.0
Code.exe,83316736,0.0
vmware-authd.exe,11665408,0.0
vmnetdhcp.exe,5849088,0.0
RzChromaStreamServer.exe,8163328,0.0
vmware-usbarbitrator64.exe,12029952,0.0
svchost.exe,19161088,0.0
MsMpEng.exe,242212864,0.0
vmnat.exe,6975488,0.0
smartscreen.exe,11096064,0.0
CPUMetricsServer.exe,2797568,0.0
wslservice.exe,19628032,0.0
DDVRulesProcessor.exe,14217216,0.0
RzAppManager,6234112,0.0
msedge.exe,45375488,0.0
RzIoTDeviceManager,5005312,0.0
RzSmartlightingDeviceManager,5038080,0.0
WidgetService.exe,18894848,0.0
ctfmon.exe,44154880,0.0
conhost.exe,8896512,0.0
conhost.exe,8912896,0.0
conhost.exe,8908800,0.0
conhost.exe,8908800,0.0
svchost.exe,9871360,0.0
Widgets.exe,43868160,0.0
SamsungMagician.exe,21766144,0.0
PresentMon-x64.exe,1925120,0.0
KAPSService.exe,16093184,0.0
svchost.exe,13643776,0.0
msedge.exe,23699456,0.0
nvcontainer.exe,50589696,0.0
Code.exe,90202112,0.0
Razer Synapse Service.exe,85258240,0.0
csrss.exe,7307264,0.0
svchost.exe,34938880,0.0
svchost.exe,25251840,0.0
GameBar.exe,44265472,0.0
conhost.exe,8998912,0.0
KAPS.exe,22654976,0.0
Dell.TechHub.Analytics.SubAgent.exe,63197184,0.0
Dell.CoreServices.Client.exe,69210112,0.0
conhost.exe,9011200,0.0
Dell.TechHub.Instrumentation.SubAgent.exe,134561792,0.0
Dell.TechHub.DataManager.SubAgent.exe,84070400,0.0
conhost.exe,9019392,0.0
conhost.exe,8998912,0.0
Dell.DCF.UA.Bradbury.API.SubAgent.exe,57131008,0.0
Dell.TechHub.Diagnostics.SubAgent.exe,68952064,0.0
conhost.exe,8978432,0.0
conhost.exe,9076736,0.0
AWCC.exe,91856896,0.0
RuntimeBroker.exe,8093696,0.0
msedge.exe,60313600,0.0
svchost.exe,6086656,0.0
svchost.exe,6815744,0.0
dllhost.exe,16867328,0.0
Code.exe,159686656,0.0
RuntimeBroker.exe,28446720,0.0
TextInputHost.exe,97284096,0.0
QuickControls.exe,102445056,0.0
SecurityHealthService.exe,18190336,0.0
msedge.exe,17956864,0.0
NisSrv.exe,10936320,0.0
NVIDIA Share.exe,83697664,0.0
svchost.exe,9060352,0.0
DDVCollectorSvcApi.exe,9019392,0.0
Code.exe,134004736,0.0
LockApp.exe,52809728,0.0
svchost.exe,24653824,0.0
awscns.exe,43016192,0.0
cloudcode_cli.exe,34488320,0.0
SecurityHealthSystray.exe,10981376,0.0
svchost.exe,17924096,0.0
OCControl.Service.exe,314335232,0.0
RiotClientCrashHandler.exe,7356416,0.0
svchost.exe,9310208,0.0
svchost.exe,7274496,0.0
powershell.exe,49037312,0.0
svchost.exe,9510912,0.0
NahimicSvc64.exe,5033984,0.0
FxSound.exe,23273472,0.0
msedge.exe,18399232,0.0
SearchHost.exe,265154560,0.0
